Week 1
Q1: The Global Goals were adopted by all United Nations member states in... as a universal call to action to end poverty, protect the planet and ensure that all people enjoy peace and prosperity by.  A. 2025, 2080; B. 2020, 2060; C. 2012, 2050; D. 2015, 2030.  Ans: D. 2015, 2030.  
Q2: Which of the following is true?   A. The SDGs are a bold commitment to solely increase the GDP of India; B. Dealing with climate change has no impact on gender equality; C. Success in one SDG affects success of the others; D. Only 14 out of the 17 SDGs are interconnected.  Ans: C. Success in one SDG affects success of the others.  
Q3: In June 1992, at the Earth Summit in Rio de Janeiro, Brazil, more than 178 countries adopted.  A. Agenda 21; B. Millennium Development Goals; C. Agenda 51; D. Sustainable Development Goals.  Ans: A. Agenda 21.  
Q4: Brundtland Report was released in 1987 by the WCED. WCED stands for.  A. World Commission on Environment Degradation; B. World Commission on Environment and Development; C. World Committee on Environmental Depletion; D. World Commission on Earth Development.  Ans: B. World Commission on Environment and Development.  
Q5: Extreme poverty means living on less than.  A. $1.25; B. $4.25; C. $10.25; D. $100.25.  Ans: A. $1.25 a day.  
Q6: [Blank] poverty measures reveal who is poor and how they are poor.  A. Unidimensional; B. Bidirectional; C. Multidimensional; D. Multidirectional.  Ans: C. Multidimensional.  
Q7: SDG 2 aims end all forms of by 2030.  A. crime; B. hunger and malnutrition; C. pollution; D. drought.  Ans: B. hunger and malnutrition.  
Q8: Which of the following is not one of the indicators of the Global Hunger Index?   A. prevalence of wasting and stunting in children under 5 years; B. under 5 child mortality rate; C. proportion of undernourished in the population; D. proportion of obese people in the population.  Ans: D. proportion of obese people in the population.  
Q9: As per Ministry of Housing and Urban Affairs, 135 litre per capita per day (lpcd) has been suggested as the benchmark for urban water supply. For rural areas, a minimum service delivery of 55 lpcd has been fixed under.  A. Jal Jeevan Mission; B. Jal Shakti Mission; C. Jal Protection Mission; D. Jal Janta Mission.  Ans: A. Jal Jeevan Mission.  
Q10: Forests cover about percent of the Earth's surface.  A. 5; B. 85; C. 30; D. 50.  Ans: C. 30.  
Week 2
Q1: Which of the following is a characteristic of ESD as described in the framework?   A. It is not locally relevant; B. It promotes learning only for children; C. It is interdisciplinary; D. It uses only two pedagogical techniques.  Ans: C. It is interdisciplinary.  
Q2: The Declaration on the Right to Development (1986) established that everyone is entitled to participate in and enjoy:   A. only economic and social development; B. economic, political, psychological and communist development; C. economic, social, cultural and political development; D. only cultural development.  Ans: C. economic, social, cultural and political development.  
Q3: Text based methods for assessing ESD programs can be improved by using.  A. interpretive methodologies; B. strict curriculum; C. only quantitative techniques; D. only qualitative methods.  Ans: A. interpretive methodologies.  
Q4: SDGs are for the following except.  A. people; B. practice; C. planet; D. partnership.  Ans: B. practice.  
Q5: Policies like employment and labor rights, care and family leaves, and financial regulation are often called the   A. post-regulation; B. self-care; C. forceful; D. pre-distributive.  Ans: D. pre-distributive policies.  
Q6: Which of the following is involved in the development of the HRE indicator framework to measure progress on national implementation of human rights education.   A. Danish Institute of Human Rights; B. The Office of the High Commissioner for Human Rights; C. Both A and B; D. Neither A nor B.  Ans: C. Both A and B.  
Q7: [Blank] plays a role in peace education.  A. schools; B. parents; C. community; D. all the given.  Ans: D. all the given.  
Q8: The enterprise of education at its most profound level is.  A. discriminatory; B. selective; C. restricted; D. transformative.  Ans: D. transformative.  
Q9: UNESCO's World in 2030 survey revealed that respondents see [blank] as one of the top global challenges.  A. climate change; B. hunger; C. unemployment; D. mental health.  Ans: A. climate change.  
Q10: Education for sustainable development and peace develops people's skills to take actions that improve our quality of life.  A. only now; B. only for the future; C. for now and for the future; D. only for the past.  Ans: C. for now and for the future.  
Week 3
Q1: Global citizenship is a belief that individuals are members of [blank] networks.  A. multiple; B. diverse; C. local and non-local; D. all of the given.  Ans: D. all of the given.  
Q2: A global citizen.  A. is not aware of the wider world; B. is confused about their place in the world; C. takes an active role in their community; D. do not care much about the planet.  Ans: C. takes an active role in their community.  
Q3: Global citizenship education is based on [blank] domains of learning.  A. three; B. two; C. four; D. seven.  Ans: A. three.  
Q4: [Blank] is UNESCO's first Category 1 education-related institute in the Asia-Pacific region.  A. MGEIN; B. MGIER; C. MGIEP; D. MGOEL.  Ans: C. MGIEP.  
Q5: SDG target 4.7 rearticulates a [blank] agenda for education.  A. regional; B. behavioral; C. political; D. humanistic.  Ans: D. humanistic.  
Q6: SEL stands for.  A. Sustainable education and learning; B. Social and environmental learning; C. Social and emotional learning; D. Sustainable and economic learning.  Ans: C. Social and emotional learning.  
Q7: Which of the following is a role taken by a teacher in education for sustainable development?   A. facilitator; B. guide; C. role model; D. all of the given.  Ans: D. all of the given.  
